index,temp_key,humidity_key,windspeed_key,season_key,weather_key,hour_key,datekey,demand,data_extract_ts
227,3,23,15,1,1,17,20230110,178,2025-11-18 11:50:37
228,3,23,7,1,1,18,20230110,155,2025-11-18 11:50:37
229,14,20,9,1,1,19,20230110,95,2025-11-18 11:50:37
230,14,21,9,1,1,20,20230110,74,2025-11-18 11:50:37
231,15,30,6,1,1,21,20230110,38,2025-11-18 11:50:37
232,15,30,9,1,1,22,20230110,24,2025-11-18 11:50:37
233,15,30,9,1,1,23,20230110,18,2025-11-18 11:50:37
234,15,30,15,1,1,0,20230111,12,2025-11-18 11:50:37
235,15,30,9,1,1,1,20230111,3,2025-11-18 11:50:37
236,14,29,6,1,2,2,20230111,3,2025-11-18 11:50:37
237,14,29,8,1,2,5,20230111,6,2025-11-18 11:50:37
238,14,29,8,1,2,6,20230111,27,2025-11-18 11:50:37
239,14,29,1,1,2,7,20230111,99,2025-11-18 11:50:37
240,16,34,2,1,2,8,20230111,217,2025-11-18 11:50:37
241,16,34,9,1,2,9,20230111,130,2025-11-18 11:50:37
242,3,34,9,1,2,10,20230111,54,2025-11-18 11:50:37
243,3,20,8,1,2,11,20230111,35,2025-11-18 11:50:37
244,3,34,15,1,2,12,20230111,57,2025-11-18 11:50:37
245,3,30,2,1,2,13,20230111,52,2025-11-18 11:50:37
246,3,30,2,1,2,14,20230111,63,2025-11-18 11:50:37
247,14,2,2,1,2,15,20230111,47,2025-11-18 11:50:37
248,14,4,7,1,2,16,20230111,76,2025-11-18 11:50:37
249,14,4,7,1,2,17,20230111,136,2025-11-18 11:50:37
250,14,44,15,1,3,18,20230111,95,2025-11-18 11:50:37
251,14,44,1,1,3,19,20230111,51,2025-11-18 11:50:37
252,14,44,6,1,3,20,20230111,32,2025-11-18 11:50:37
253,14,4,2,1,3,21,20230111,20,2025-11-18 11:50:37
254,14,44,15,1,3,22,20230111,29,2025-11-18 11:50:37
255,14,44,2,1,3,23,20230111,19,2025-11-18 11:50:37
256,14,4,2,1,2,0,20230112,7,2025-11-18 11:50:37
257,14,4,15,1,2,1,20230112,6,2025-11-18 11:50:37
258,15,4,8,1,1,2,20230112,1,2025-11-18 11:50:37
259,15,4,9,1,1,5,20230112,5,2025-11-18 11:50:37
260,17,44,8,1,1,6,20230112,16,2025-11-18 11:50:37
261,15,28,8,1,1,7,20230112,54,2025-11-18 11:50:37
262,14,30,9,1,1,8,20230112,128,2025-11-18 11:50:37
263,14,30,10,1,1,9,20230112,81,2025-11-18 11:50:37
264,16,29,7,1,1,10,20230112,39,2025-11-18 11:50:37
265,3,34,14,1,1,11,20230112,35,2025-11-18 11:50:37
266,3,20,20,1,1,12,20230112,55,2025-11-18 11:50:37
267,2,19,12,1,1,13,20230112,49,2025-11-18 11:50:37
268,3,20,10,1,1,14,20230112,44,2025-11-18 11:50:37
269,3,20,13,1,1,15,20230112,49,2025-11-18 11:50:37
270,2,19,10,1,1,16,20230112,68,2025-11-18 11:50:37
271,3,20,12,1,1,17,20230112,139,2025-11-18 11:50:37
272,3,20,19,1,1,18,20230112,137,2025-11-18 11:50:37
273,16,20,13,1,1,19,20230112,83,2025-11-18 11:50:37
274,14,21,10,1,1,20,20230112,56,2025-11-18 11:50:37
275,14,29,10,1,1,21,20230112,57,2025-11-18 11:50:37
276,14,29,11,1,1,22,20230112,33,2025-11-18 11:50:37
277,15,30,13,1,1,23,20230112,20,2025-11-18 11:50:37
278,15,30,4,1,1,0,20230113,7,2025-11-18 11:50:37
279,15,21,4,1,1,1,20230113,2,2025-11-18 11:50:37
280,15,21,12,1,1,2,20230113,2,2025-11-18 11:50:37
281,15,21,10,1,1,3,20230113,3,2025-11-18 11:50:37
282,15,21,3,1,1,4,20230113,4,2025-11-18 11:50:37
283,15,21,5,1,1,5,20230113,3,2025-11-18 11:50:37
284,17,48,8,1,1,6,20230113,28,2025-11-18 11:50:37
285,17,48,8,1,1,7,20230113,72,2025-11-18 11:50:37
286,15,21,6,1,1,8,20230113,202,2025-11-18 11:50:37
287,15,21,10,1,1,9,20230113,139,2025-11-18 11:50:37
288,14,21,12,1,2,10,20230113,38,2025-11-18 11:50:37
289,3,19,11,1,2,11,20230113,37,2025-11-18 11:50:37
290,3,19,13,1,1,12,20230113,52,2025-11-18 11:50:37
291,2,49,11,1,1,13,20230113,83,2025-11-18 11:50:37
292,2,49,14,1,1,14,20230113,42,2025-11-18 11:50:37
293,1,42,5,1,1,15,20230113,60,2025-11-18 11:50:37
294,1,42,12,1,1,16,20230113,78,2025-11-18 11:50:37
295,3,23,4,1,1,17,20230113,162,2025-11-18 11:50:37
296,3,23,10,1,1,18,20230113,144,2025-11-18 11:50:37
297,14,20,3,1,1,19,20230113,99,2025-11-18 11:50:37
298,14,20,7,1,1,20,20230113,64,2025-11-18 11:50:37
299,15,16,5,1,1,21,20230113,40,2025-11-18 11:50:37
300,15,16,10,1,1,22,20230113,30,2025-11-18 11:50:37
301,17,21,6,1,1,23,20230113,15,2025-11-18 11:50:37
302,17,21,6,1,1,0,20230114,14,2025-11-18 11:50:37
303,19,48,9,1,1,1,20230114,5,2025-11-18 11:50:37
304,19,48,8,1,1,2,20230114,1,2025-11-18 11:50:37
305,19,48,15,1,1,3,20230114,1,2025-11-18 11:50:37
306,19,48,2,1,1,5,20230114,8,2025-11-18 11:50:37
307,19,48,1,1,1,6,20230114,17,2025-11-18 11:50:37
308,19,33,9,1,1,7,20230114,70,2025-11-18 11:50:37
309,17,32,1,1,1,8,20230114,158,2025-11-18 11:50:37
310,15,28,8,1,1,9,20230114,117,2025-11-18 11:50:37
311,16,29,6,1,1,10,20230114,44,2025-11-18 11:50:37
312,16,34,4,1,1,11,20230114,53,2025-11-18 11:50:37
313,3,19,3,1,1,12,20230114,61,2025-11-18 11:50:37
314,2,39,14,1,1,13,20230114,77,2025-11-18 11:50:37
315,2,49,4,1,1,14,20230114,64,2025-11-18 11:50:37
316,1,42,9,1,1,15,20230114,68,2025-11-18 11:50:37
317,2,49,15,1,1,16,20230114,90,2025-11-18 11:50:37
318,2,49,9,1,1,17,20230114,159,2025-11-18 11:50:37
319,3,20,1,1,1,18,20230114,139,2025-11-18 11:50:37
320,14,30,2,1,1,19,20230114,92,2025-11-18 11:50:37
321,16,30,1,1,1,20,20230114,68,2025-11-18 11:50:37
322,14,28,1,1,1,21,20230114,52,2025-11-18 11:50:37
323,14,28,1,1,2,22,20230114,36,2025-11-18 11:50:37
324,16,29,1,1,2,23,20230114,27,2025-11-18 11:50:37
325,16,29,1,1,1,0,20230115,28,2025-11-18 11:50:37
326,14,30,2,1,2,1,20230115,20,2025-11-18 11:50:37
327,14,30,2,1,2,2,20230115,12,2025-11-18 11:50:37
328,14,30,1,1,2,3,20230115,8,2025-11-18 11:50:37
329,14,30,1,1,2,4,20230115,5,2025-11-18 11:50:37
330,14,30,1,1,1,5,20230115,1,2025-11-18 11:50:37
331,15,31,15,1,1,6,20230115,3,2025-11-18 11:50:37
332,15,31,1,1,1,7,20230115,10,2025-11-18 11:50:37
333,15,31,8,1,1,8,20230115,23,2025-11-18 11:50:37
334,14,27,8,1,1,9,20230115,33,2025-11-18 11:50:37
335,16,30,9,1,1,10,20230115,59,2025-11-18 11:50:37
336,3,29,7,1,1,11,20230115,72,2025-11-18 11:50:37
337,1,38,7,1,1,12,20230115,89,2025-11-18 11:50:37
338,18,42,5,1,1,13,20230115,101,2025-11-18 11:50:37
339,12,18,4,1,1,14,20230115,118,2025-11-18 11:50:37
340,4,43,6,1,2,15,20230115,129,2025-11-18 11:50:37
341,11,47,6,1,2,16,20230115,128,2025-11-18 11:50:37
342,4,43,4,1,2,17,20230115,83,2025-11-18 11:50:37
343,12,50,3,1,2,18,20230115,84,2025-11-18 11:50:37
344,4,18,3,1,2,19,20230115,74,2025-11-18 11:50:37
345,4,18,3,1,2,20,20230115,41,2025-11-18 11:50:37
346,4,18,7,1,2,21,20230115,57,2025-11-18 11:50:37
347,12,17,15,1,2,22,20230115,26,2025-11-18 11:50:37
348,12,50,4,1,1,23,20230115,44,2025-11-18 11:50:37
349,13,35,1,1,1,0,20230116,39,2025-11-18 11:50:37
350,13,35,8,1,1,1,20230116,23,2025-11-18 11:50:37
351,13,35,2,1,1,2,20230116,16,2025-11-18 11:50:37
352,2,28,1,1,1,3,20230116,15,2025-11-18 11:50:37
353,13,35,9,1,1,4,20230116,1,2025-11-18 11:50:37
354,13,35,9,1,2,5,20230116,2,2025-11-18 11:50:37
355,13,35,9,1,2,6,20230116,1,2025-11-18 11:50:37
356,1,35,5,1,2,7,20230116,3,2025-11-18 11:50:37
357,2,29,4,1,1,8,20230116,18,2025-11-18 11:50:37
358,2,34,3,1,1,9,20230116,32,2025-11-18 11:50:37
359,2,34,4,1,1,10,20230116,79,2025-11-18 11:50:37
360,1,19,3,1,1,11,20230116,93,2025-11-18 11:50:37
361,1,49,4,1,1,12,20230116,104,2025-11-18 11:50:37
362,13,24,5,1,1,13,20230116,118,2025-11-18 11:50:37
363,18,43,3,1,1,14,20230116,91,2025-11-18 11:50:37
364,13,42,3,1,1,15,20230116,113,2025-11-18 11:50:37
365,1,42,7,1,1,16,20230116,99,2025-11-18 11:50:37
366,2,39,3,1,1,17,20230116,105,2025-11-18 11:50:37
367,3,23,9,1,1,18,20230116,67,2025-11-18 11:50:37
368,16,20,8,1,1,19,20230116,61,2025-11-18 11:50:37
369,16,20,9,1,1,20,20230116,57,2025-11-18 11:50:37
370,16,34,9,1,1,21,20230116,28,2025-11-18 11:50:37
371,3,37,8,1,2,22,20230116,21,2025-11-18 11:50:37
372,3,23,15,1,2,23,20230116,18,2025-11-18 11:50:37
373,3,20,7,1,2,0,20230117,17,2025-11-18 11:50:37
374,3,19,6,1,2,1,20230117,16,2025-11-18 11:50:37
375,16,22,3,1,2,2,20230117,8,2025-11-18 11:50:37
376,16,22,6,1,2,3,20230117,2,2025-11-18 11:50:37
377,16,22,8,1,2,4,20230117,3,2025-11-18 11:50:37
378,16,22,9,1,2,5,20230117,1,2025-11-18 11:50:37
379,16,22,6,1,2,6,20230117,5,2025-11-18 11:50:37
380,14,21,8,1,2,7,20230117,13,2025-11-18 11:50:37
381,14,20,7,1,2,8,20230117,33,2025-11-18 11:50:37
382,14,20,7,1,2,9,20230117,47,2025-11-18 11:50:37
383,14,21,3,1,2,10,20230117,57,2025-11-18 11:50:37
384,14,29,6,1,2,11,20230117,64,2025-11-18 11:50:37
385,16,20,8,1,2,12,20230117,80,2025-11-18 11:50:37
386,16,20,8,1,2,13,20230117,93,2025-11-18 11:50:37
387,16,22,15,1,2,14,20230117,86,2025-11-18 11:50:37
388,3,20,9,1,2,15,20230117,93,2025-11-18 11:50:37
389,3,20,9,1,2,16,20230117,82,2025-11-18 11:50:37
390,3,34,6,1,1,17,20230117,71,2025-11-18 11:50:37
391,16,29,3,1,2,18,20230117,92,2025-11-18 11:50:37
392,16,30,6,1,3,19,20230117,60,2025-11-18 11:50:37
393,14,2,6,1,3,20,20230117,33,2025-11-18 11:50:37
394,14,2,6,1,3,21,20230117,27,2025-11-18 11:50:37
395,15,44,3,1,3,22,20230117,13,2025-11-18 11:50:37
396,14,4,4,1,3,23,20230117,4,2025-11-18 11:50:37
397,3,4,10,1,2,12,20230118,3,2025-11-18 11:50:37
398,3,4,7,1,2,13,20230118,22,2025-11-18 11:50:37
399,2,2,9,1,2,14,20230118,28,2025-11-18 11:50:37
400,2,10,9,1,2,15,20230118,35,2025-11-18 11:50:37
401,2,10,6,1,2,16,20230118,61,2025-11-18 11:50:37
402,2,8,6,1,2,17,20230118,125,2025-11-18 11:50:37
403,2,2,9,1,2,18,20230118,133,2025-11-18 11:50:37
404,2,2,8,1,2,19,20230118,99,2025-11-18 11:50:37
405,2,10,1,1,2,20,20230118,83,2025-11-18 11:50:37
406,2,44,15,1,2,21,20230118,41,2025-11-18 11:50:37
407,2,44,2,1,2,22,20230118,33,2025-11-18 11:50:37
408,2,44,1,1,2,23,20230118,20,2025-11-18 11:50:37
409,2,44,1,1,2,0,20230119,3,2025-11-18 11:50:37
410,2,44,8,1,3,1,20230119,7,2025-11-18 11:50:37
411,2,44,8,1,3,2,20230119,3,2025-11-18 11:50:37
412,2,44,8,1,3,4,20230119,2,2025-11-18 11:50:37
413,2,44,2,1,2,5,20230119,7,2025-11-18 11:50:37
414,2,44,2,1,2,6,20230119,32,2025-11-18 11:50:37
415,1,51,15,1,2,7,20230119,90,2025-11-18 11:50:37
416,1,44,15,1,2,8,20230119,197,2025-11-18 11:50:37
417,1,44,15,1,2,9,20230119,109,2025-11-18 11:50:37
418,13,44,8,1,2,10,20230119,47,2025-11-18 11:50:37
419,18,10,2,1,2,11,20230119,52,2025-11-18 11:50:37
420,12,1,2,1,2,12,20230119,70,2025-11-18 11:50:37
421,10,52,4,1,1,13,20230119,78,2025-11-18 11:50:37
